Fecha,Pasajeros,Origen,Destino,Tipo de trafico,Año,Mes
2010-01-01,22952,FUERTEVENTURA airport,ADOLFO SUAREZ MADRID-BARAJAS airport,Llegada,2010,1
2010-02-01,20387,FUERTEVENTURA airport,ADOLFO SUAREZ MADRID-BARAJAS airport,Llegada,2010,2
2010-03-01,26436,FUERTEVENTURA airport,ADOLFO SUAREZ MADRID-BARAJAS airport,Llegada,2010,3
2010-04-01,31606,FUERTEVENTURA airport,ADOLFO SUAREZ MADRID-BARAJAS airport,Llegada,2010,4
2010-05-01,26247,FUERTEVENTURA airport,ADOLFO SUAREZ MADRID-BARAJAS airport,Llegada,2010,5
2010-06-01,30996,FUERTEVENTURA airport,ADOLFO SUAREZ MADRID-BARAJAS airport,Llegada,2010,6
2010-07-01,40089,FUERTEVENTURA airport,ADOLFO SUAREZ MADRID-BARAJAS airport,Llegada,2010,7
2010-08-01,47356,FUERTEVENTURA airport,ADOLFO SUAREZ MADRID-BARAJAS airport,Llegada,2010,8
2010-09-01,37322,FUERTEVENTURA airport,ADOLFO SUAREZ MADRID-BARAJAS airport,Llegada,2010,9
2010-10-01,34511,FUERTEVENTURA airport,ADOLFO SUAREZ MADRID-BARAJAS airport,Llegada,2010,10
2010-11-01,23965,FUERTEVENTURA airport,ADOLFO SUAREZ MADRID-BARAJAS airport,Llegada,2010,11
2010-12-01,24563,FUERTEVENTURA airport,ADOLFO SUAREZ MADRID-BARAJAS airport,Llegada,2010,12
2011-01-01,24777,FUERTEVENTURA airport,ADOLFO SUAREZ MADRID-BARAJAS airport,Llegada,2011,1
2011-02-01,22256,FUERTEVENTURA airport,ADOLFO SUAREZ MADRID-BARAJAS airport,Llegada,2011,2
2011-03-01,22080,FUERTEVENTURA airport,ADOLFO SUAREZ MADRID-BARAJAS airport,Llegada,2011,3
2011-04-01,22146,FUERTEVENTURA airport,ADOLFO SUAREZ MADRID-BARAJAS airport,Llegada,2011,4
2011-05-01,21602,FUERTEVENTURA airport,ADOLFO SUAREZ MADRID-BARAJAS airport,Llegada,2011,5
2011-06-01,25751,FUERTEVENTURA airport,ADOLFO SUAREZ MADRID-BARAJAS airport,Llegada,2011,6
2011-07-01,31684,FUERTEVENTURA airport,ADOLFO SUAREZ MADRID-BARAJAS airport,Llegada,2011,7
2011-08-01,36617,FUERTEVENTURA airport,ADOLFO SUAREZ MADRID-BARAJAS airport,Llegada,2011,8
2011-09-01,28744,FUERTEVENTURA airport,ADOLFO SUAREZ MADRID-BARAJAS airport,Llegada,2011,9
2011-10-01,26577,FUERTEVENTURA airport,ADOLFO SUAREZ MADRID-BARAJAS airport,Llegada,2011,10
2011-11-01,20668,FUERTEVENTURA airport,ADOLFO SUAREZ MADRID-BARAJAS airport,Llegada,2011,11
2011-12-01,23262,FUERTEVENTURA airport,ADOLFO SUAREZ MADRID-BARAJAS airport,Llegada,2011,12
2012-01-01,20249,FUERTEVENTURA airport,ADOLFO SUAREZ MADRID-BARAJAS airport,Llegada,2012,1
