ruta,MAE_LSTM,RMSE_LSTM,MAE_Naive,RMSE_Naive
ADOLFO SUAREZ MADRID-BARAJAS airport → HELSINKI/VANTAA airport,649.634765625,723.210181019641,441.5833333333333,520.4170603147697
ADOLFO SUAREZ MADRID-BARAJAS airport → LA AURORA airport,556.239013671875,737.1352696449724,751.75,813.5099364277406
ADOLFO SUAREZ MADRID-BARAJAS airport → MELILLA airport,769.14013671875,859.0446846832745,1546.75,1805.9353762893438
MELILLA airport → ADOLFO SUAREZ MADRID-BARAJAS airport,748.8767903645834,875.6574687960854,1546.75,1805.9353762893438
ADOLFO SUAREZ MADRID-BARAJAS airport → PANAMA/TOCUMEN airport,894.310546875,1117.4262148962935,2953.5833333333335,3098.094616050323
ADOLFO SUAREZ MADRID-BARAJAS airport → PISA/S. GIUSTO airport,1187.6880289713542,1287.2435674674182,794.8333333333334,1346.0736730704352
"ADOLFO SUAREZ MADRID-BARAJAS airport → NEWARK LIBERTY INTERNATIONAL, NJ. airport",1256.1163736979167,1610.043324174794,675.75,811.3235585551961
ADOLFO SUAREZ MADRID-BARAJAS airport → BERGAMO/ORIO AL SERIO airport,1139.6686197916667,1613.391721535022,3128.1666666666665,3683.4473888826847
ADOLFO SUAREZ MADRID-BARAJAS airport → VIRU VIRU airport,1272.099609375,1677.9564561109746,2278.0833333333335,2876.5701364646056
ADOLFO SUAREZ MADRID-BARAJAS airport → CHARLEROI/BRUSSELS SOUTH airport,1296.4147135416667,1698.4498451990542,1543.3333333333333,2048.4802903616132
SAN SEBASTIAN airport → ADOLFO SUAREZ MADRID-BARAJAS airport,1298.8107096354167,1721.7663687276906,1891.75,2054.7627803066057
ADOLFO SUAREZ MADRID-BARAJAS airport → SAN SEBASTIAN airport,1344.5847981770833,1734.776309116547,1891.75,2054.7627803066057
GRANADA/JAEN/FEDERICO GARCIA LORCA airport → ADOLFO SUAREZ MADRID-BARAJAS airport,1581.443359375,1871.6718593883609,975.9166666666666,1147.2053361684357
ADOLFO SUAREZ MADRID-BARAJAS airport → STOCKHOLM/ARLANDA airport,1691.1131184895833,1933.7439584967697,1709.1666666666667,2046.4359669109285
ADOLFO SUAREZ MADRID-BARAJAS airport → GRANADA/JAEN/FEDERICO GARCIA LORCA airport,1782.6771647135417,2073.6975248221847,975.9166666666666,1147.2053361684357
ADOLFO SUAREZ MADRID-BARAJAS airport → BALE-MULHOUSE airport,1818.290771484375,2166.366354413245,4239.75,4796.915528058977
ADOLFO SUAREZ MADRID-BARAJAS airport → BOLOGNA/BORGO PANIGALE airport,1983.7386067708333,2303.3829303865155,2786.8333333333335,3184.856328523052
ADOLFO SUAREZ MADRID-BARAJAS airport → NICE-COTE D'AZUR airport,1986.569091796875,2314.3578693088125,2962.6666666666665,3387.8414465064134
ADOLFO SUAREZ MADRID-BARAJAS airport → CASABLANCA/MOHAMMED V airport,1709.9459635416667,2449.938513876431,1658.25,2342.546531021316
ADOLFO SUAREZ MADRID-BARAJAS airport → BEAUVAIS-TILLE airport,1794.5658772786458,2455.1604366083056,1945.5833333333333,2385.1952575557975
ADOLFO SUAREZ MADRID-BARAJAS airport → ALAJUELA/JUAN SANTAMARIA INTL. airport,2065.0418294270835,2459.0014726013987,1489.8333333333333,1824.1020165184475
ADOLFO SUAREZ MADRID-BARAJAS airport → GUAYAQUIL airport,1889.29296875,2482.7113119116834,1020.5,1233.7112709220096
"ADOLFO SUAREZ MADRID-BARAJAS airport → PHILADELPHIA INTERNATIONAL, PA. airport",2391.4501139322915,2566.270937889929,2397.9166666666665,2527.544740784358
ADOLFO SUAREZ MADRID-BARAJAS airport → WIEN-SCHWECHAT airport,1836.88671875,2632.0997516030843,1211.0833333333333,1868.3497843462467
SEVE BALLESTEROS-SANTANDER airport → ADOLFO SUAREZ MADRID-BARAJAS airport,2471.51513671875,2640.7437641496977,1388.5833333333333,1659.8208989727375
LA PALMA airport → ADOLFO SUAREZ MADRID-BARAJAS airport,2386.628662109375,2653.267767343504,1924.0833333333333,2297.8400546310154
