ruta,MAE,RMSE
ADOLFO SUAREZ MADRID-BARAJAS airport → LA AURORA airport,485.1449381510417,691.1103087695174
ADOLFO SUAREZ MADRID-BARAJAS airport → HELSINKI/VANTAA airport,650.5924479166666,773.9151268010247
MELILLA airport → ADOLFO SUAREZ MADRID-BARAJAS airport,707.045166015625,852.811575459694
ADOLFO SUAREZ MADRID-BARAJAS airport → MELILLA airport,737.5199381510416,919.9551212931793
ADOLFO SUAREZ MADRID-BARAJAS airport → STOCKHOLM/ARLANDA airport,849.7901204427084,1017.8301832485602
ADOLFO SUAREZ MADRID-BARAJAS airport → NICE-COTE D'AZUR airport,949.1244303385416,1316.2801708288166
ADOLFO SUAREZ MADRID-BARAJAS airport → GUAYAQUIL airport,1133.8644205729167,1318.7110951473562
ADOLFO SUAREZ MADRID-BARAJAS airport → GRANADA/JAEN/FEDERICO GARCIA LORCA airport,1104.1734212239583,1336.4362955692282
GRANADA/JAEN/FEDERICO GARCIA LORCA airport → ADOLFO SUAREZ MADRID-BARAJAS airport,1143.9213053385417,1347.823764764594
ADOLFO SUAREZ MADRID-BARAJAS airport → PISA/S. GIUSTO airport,1269.3370361328125,1406.56973218731
"ADOLFO SUAREZ MADRID-BARAJAS airport → NEWARK LIBERTY INTERNATIONAL, NJ. airport",1172.3212076822917,1447.3390804956039
LA PALMA airport → ADOLFO SUAREZ MADRID-BARAJAS airport,1234.4237467447917,1563.27721662912
ADOLFO SUAREZ MADRID-BARAJAS airport → PANAMA/TOCUMEN airport,1470.1735026041667,1662.282820467995
ADOLFO SUAREZ MADRID-BARAJAS airport → CHARLEROI/BRUSSELS SOUTH airport,1296.241455078125,1700.874351421185
ADOLFO SUAREZ MADRID-BARAJAS airport → ALAJUELA/JUAN SANTAMARIA INTL. airport,1478.9127604166667,1729.226806572589
ADOLFO SUAREZ MADRID-BARAJAS airport → SAN SEBASTIAN airport,1271.9768880208333,1792.8977033923277
ADOLFO SUAREZ MADRID-BARAJAS airport → PAMPLONA airport,1560.9159342447917,1920.265763566322
SAN SEBASTIAN airport → ADOLFO SUAREZ MADRID-BARAJAS airport,1380.623046875,1944.1555658314855
ADOLFO SUAREZ MADRID-BARAJAS airport → BOLOGNA/BORGO PANIGALE airport,1599.9767252604167,1980.782748747136
ADOLFO SUAREZ MADRID-BARAJAS airport → VIRU VIRU airport,1530.803955078125,2035.5218490188556
"ADOLFO SUAREZ MADRID-BARAJAS airport → PHILADELPHIA INTERNATIONAL, PA. airport",1751.6009928385417,2049.4129500475096
ADOLFO SUAREZ MADRID-BARAJAS airport → MONTEVIDEO/INTL.CARRASCO GRAL. CESAREO L. BERISSO airport,1829.2335611979167,2161.960887127044
"ADOLFO SUAREZ MADRID-BARAJAS airport → BOSTON/GENERAL EDWARD LAWRENCE LOGAN INTERNATIONAL, MA. airport",1772.6881510416667,2170.9749405450366
ADOLFO SUAREZ MADRID-BARAJAS airport → ALMERIA airport,1859.7005208333333,2172.4086175678103
ALICANTE airport → ADOLFO SUAREZ MADRID-BARAJAS airport,1659.919921875,2179.323015874259
ADOLFO SUAREZ MADRID-BARAJAS airport → CASABLANCA/MOHAMMED V airport,1435.59912109375,2284.114888499746
ADOLFO SUAREZ MADRID-BARAJAS airport → TANGER/IBN BATOUTA airport,1912.53369140625,2315.726226134209
ALMERIA airport → ADOLFO SUAREZ MADRID-BARAJAS airport,2098.37841796875,2347.263074891721
ADOLFO SUAREZ MADRID-BARAJAS airport → GENEVA airport,2061.1136067708335,2384.478383820379
ADOLFO SUAREZ MADRID-BARAJAS airport → BEAUVAIS-TILLE airport,1842.0670572916667,2397.988122498536
ADOLFO SUAREZ MADRID-BARAJAS airport → BERGAMO/ORIO AL SERIO airport,2158.7794596354165,2424.03642377376
ADOLFO SUAREZ MADRID-BARAJAS airport → KOBENHAVN/KASTRUP airport,2244.5987955729165,2440.7757399231114
ADOLFO SUAREZ MADRID-BARAJAS airport → FUERTEVENTURA airport,1952.7770182291667,2447.175679641032
ADOLFO SUAREZ MADRID-BARAJAS airport → BALE-MULHOUSE airport,1935.8355305989583,2451.149298978691
FUERTEVENTURA airport → ADOLFO SUAREZ MADRID-BARAJAS airport,2176.6731770833335,2512.761543688555
"ADOLFO SUAREZ MADRID-BARAJAS airport → RIO DE JANEIRO/GALEAO-ANTONIO CARLOS JOBIM, RJ airport",1981.3040364583333,2845.2177699305153
ADOLFO SUAREZ MADRID-BARAJAS airport → ROMA/CIAMPINO airport,2933.1964518229165,2961.275663118964
ADOLFO SUAREZ MADRID-BARAJAS airport → DUESSELDORF airport,2741.74951171875,2966.6702089054056
ADOLFO SUAREZ MADRID-BARAJAS airport → CANCUN airport,2466.6005859375,3078.920361822144
ADOLFO SUAREZ MADRID-BARAJAS airport → ALICANTE airport,2353.4405924479165,3109.0646323449246
ADOLFO SUAREZ MADRID-BARAJAS airport → PUNTA CANA INTL. airport,2598.0862630208335,3154.731574067525
A CORUNA airport → ADOLFO SUAREZ MADRID-BARAJAS airport,2538.6783854166665,3169.3741647410184
ADOLFO SUAREZ MADRID-BARAJAS airport → PORTO airport,2395.919921875,3171.3996492791953
JEREZ airport → ADOLFO SUAREZ MADRID-BARAJAS airport,3018.4464518229165,3284.812130450604
ADOLFO SUAREZ MADRID-BARAJAS airport → VALENCIA airport,2083.2996419270835,3385.954683244541
